ts,year,quarter,session,in_killzone,vol_regime,pd_zone,atr_pct,ret_15m,ret_60m,recent_sweep,trend_15m,trend_1h,trend_4h,direction,confidence,outcome,realized_R
2017-02-20 14:29:00+00:00,2017,1,ny_am,1,low,equilibrium,0.009053810222699457,-3.387786352644978e-05,0.0010741492442436237,none,na,bull,range,flat,0,flat,0.0
2017-02-23 12:13:00+00:00,2017,1,ny_am,1,normal,premium,0.011991270347393732,-0.0002669867300378964,0.0001925113100394648,none,na,bull,bull,flat,0,flat,0.0
2017-02-27 20:12:00+00:00,2017,1,ny_pm,0,normal,premium,0.01575822144713232,-0.0001871537655336578,0.0004734757538156855,none,na,bull,bull,flat,0,flat,0.0
2017-03-02 14:33:00+00:00,2017,1,ny_am,1,high,discount,0.026378094648412356,-0.0009425387477631796,-0.001231429759994266,buyside,na,range,bull,flat,0,flat,0.0
2017-03-07 08:31:00+00:00,2017,1,london,1,normal,equilibrium,0.01737782521820064,0.00017089961461650498,-0.0003735797528362836,none,na,range,bear,flat,0,flat,0.0
2017-03-09 16:29:00+00:00,2017,1,off,0,high,premium,0.02172733147744674,-0.000538704609348177,-0.0006100095188297567,none,na,bear,bear,short,3,win,0.8689320388355901
2017-03-14 10:30:00+00:00,2017,1,off,0,low,discount,0.007543728351381236,3.739862814154881e-05,0.00015057048952669163,buyside,na,bear,range,short,4,timeout,-0.8650963597432142
2017-03-16 19:19:00+00:00,2017,1,ny_pm,0,normal,discount,0.01888304381443554,0.000861141011840689,-0.0010266450195778817,none,na,bull,bull,long,6,win,0.0981132075471149
2017-03-21 14:22:00+00:00,2017,1,ny_am,1,high,discount,0.025668524344537893,-0.0010947488388014105,-0.0026333739214360976,sellside,na,bull,bear,flat,0,flat,0.0
2017-03-24 08:39:00+00:00,2017,1,london,1,low,premium,0.01775629943189809,0.0007445123637398042,0.0005548949663101032,none,na,bull,bull,flat,0,flat,0.0
2017-03-28 16:46:00+00:00,2017,1,off,0,normal,premium,0.02155995207891293,-2.6644704970413352e-05,0.00043378165515573625,sellside,na,bull,range,long,4,win,0.9207920792076212
2017-03-31 11:24:00+00:00,2017,1,ny_am,1,low,discount,0.006583542909024326,0.0004110152075626798,0.0005803549837984234,none,na,range,bull,flat,0,flat,0.0
2017-04-04 19:39:00+00:00,2017,2,ny_pm,0,normal,premium,0.02033159248396654,0.0006291712846225699,-0.0002901199646053643,none,na,bull,bear,flat,0,flat,0.0
2017-04-07 13:39:00+00:00,2017,2,ny_am,1,high,equilibrium,0.05276866701460777,0.0020132472151291178,0.0028879308254486733,none,na,bear,range,flat,0,flat,0.0
2017-04-12 07:47:00+00:00,2017,2,london,1,normal,premium,0.015446394334874566,-0.0003864818317306415,0.002266920161300053,none,na,range,bear,flat,0,flat,0.0
2017-04-17 16:16:00+00:00,2017,2,off,0,normal,premium,0.01877556123287856,0.00016051715709518776,0.0001945728760546458,buyside,na,bear,bear,short,8,timeout,-0.43256997455467533
2017-04-20 10:18:00+00:00,2017,2,off,0,low,premium,0.010846150368995191,-0.00011252831554893135,-0.0005379499217527386,buyside,na,bear,bear,short,8,win,0.2777777777778099
2017-04-24 18:17:00+00:00,2017,2,ny_pm,0,normal,premium,0.02157660824683215,0.0003201116780591824,0.0002888135299511664,none,na,bull,bull,flat,0,flat,0.0
2017-04-27 12:29:00+00:00,2017,2,ny_am,1,normal,discount,0.010764696203052176,-0.00014285034045997808,-8.809586735136417e-05,none,na,range,range,flat,0,flat,0.0
2017-05-02 07:17:00+00:00,2017,2,london,1,normal,discount,0.014394703353290083,-0.00041076883028792245,-0.0001242215252013724,none,na,range,bear,flat,0,flat,0.0
2017-05-04 15:37:00+00:00,2017,2,off,0,high,equilibrium,0.02727226396165429,0.0003153089669571578,-0.0002888586502422723,buyside,na,range,bear,flat,0,flat,0.0
2017-05-09 09:44:00+00:00,2017,2,off,0,low,premium,0.0052840098480530255,-1.1890295378717799e-05,0.0006067802337174689,none,na,bull,bull,flat,0,flat,0.0
2017-05-11 17:49:00+00:00,2017,2,ny_pm,0,normal,premium,0.02483848218608295,0.0009574187989181168,0.000670000717857912,none,na,bear,bear,short,6,win,0.3688524590163714
2017-05-16 11:58:00+00:00,2017,2,ny_am,1,normal,premium,0.010966664331468791,0.00017851022506569175,0.0006191080557863982,none,na,range,bull,flat,0,flat,0.0
2017-05-18 19:56:00+00:00,2017,2,ny_pm,0,normal,premium,0.044693816380806564,0.0,-0.0013998503608234983,none,na,bear,range,flat,0,flat,0.0
2017-05-23 13:59:00+00:00,2017,2,ny_am,1,high,discount,0.029550691847546436,-0.00035139722228855425,-0.0015185557484258961,buyside,na,bull,bull,long,4,win,-0.015950920245434482
2017-05-26 08:00:00+00:00,2017,2,london,1,normal,premium,0.013883219712602923,0.00018967683808710908,0.0009253547193090684,none,na,range,bull,flat,0,flat,0.0
